"Txhash","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x1c3af2f5e53b4e6c7e8a23e571a8878a31150f427efb50f74d501d07e3874cdb","1663978159","2022-09-24 00:09:19","0x846976adde6f17afd4590312781dca81455c21d8","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","4,695.93682145196050524","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0x1c3af2f5e53b4e6c7e8a23e571a8878a31150f427efb50f74d501d07e3874cdb","1663978159","2022-09-24 00:09:19","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0x846976adde6f17afd4590312781dca81455c21d8","7,338.517655019885032605","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x11348b9c72dff55e4ba41f79fab60ec075671dc1cb591dce365eb8a8116b3c2a","1663978375","2022-09-24 00:12:55","0x2d6e4c67f362738ea48cb3a742edae74ba8eb3e5","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0.074713190341539093","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0x11348b9c72dff55e4ba41f79fab60ec075671dc1cb591dce365eb8a8116b3c2a","1663978375","2022-09-24 00:12:55","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0x2d6e4c67f362738ea48cb3a742edae74ba8eb3e5","0.116507654632166723","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x11348b9c72dff55e4ba41f79fab60ec075671dc1cb591dce365eb8a8116b3c2a","1663978375","2022-09-24 00:12:55","0x2d6e4c67f362738ea48cb3a742edae74ba8eb3e5","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0.057782620645715118","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x11348b9c72dff55e4ba41f79fab60ec075671dc1cb591dce365eb8a8116b3c2a","1663978375","2022-09-24 00:12:55","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0x2d6e4c67f362738ea48cb3a742edae74ba8eb3e5","0.03683243073386604","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0x11348b9c72dff55e4ba41f79fab60ec075671dc1cb591dce365eb8a8116b3c2a","1663978375","2022-09-24 00:12:55","0x2d6e4c67f362738ea48cb3a742edae74ba8eb3e5","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0.03683243073386604","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0x11348b9c72dff55e4ba41f79fab60ec075671dc1cb591dce365eb8a8116b3c2a","1663978375","2022-09-24 00:12:55","0x2d6e4c67f362738ea48cb3a742edae74ba8eb3e5","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0.057609273752118521","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x4c4516a704c7f20483b71c5c761324993628801b3c124a94262136caae0a371e","1663978465","2022-09-24 00:14:25","0xd1ca4afbd003bb83eb9784149af7ebd8fb09b36c","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0.009817813464297588","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x4c4516a704c7f20483b71c5c761324993628801b3c124a94262136caae0a371e","1663978465","2022-09-24 00:14:25","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0xd1ca4afbd003bb83eb9784149af7ebd8fb09b36c","0.006258178034031969","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0x9d9739d9e940327c3e9947221092c997602dcf5e0294b6a90a6160006c0ea3dc","1663978857","2022-09-24 00:20:57","0x410600dd6135cb649d134f414bed264243e43b5b","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","980.429830764227440368","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
"0x9d9739d9e940327c3e9947221092c997602dcf5e0294b6a90a6160006c0ea3dc","1663978857","2022-09-24 00:20:57","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0x1111111254fb6c44bac0bed2854e76f90643097d","624.778649173607317586","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0x09e167371c36383b8c6ac3ede07f860e452a8e2c654108b9d08784031dead7b0","1663978981","2022-09-24 00:23:01","0xefa98fdf168f372e5e9e9b910fcdfd65856f3986","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","1.03131879891830437","N/A","0xe5417af564e4bfda1c483642db72007871397896","Gains Network","GNS"
"0x09e167371c36383b8c6ac3ede07f860e452a8e2c654108b9d08784031dead7b0","1663978981","2022-09-24 00:23:01","0x6e53cb6942e518376e9e763554db1a45ddcd25c4","0x41b5b3779faabe1cad61d190d2379c44b4c18fa2","1.609152592087918829","N/A","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI"
